"","df.Music","df.Slow.songs.or.fast.songs","df.Dance","df.Folk","df.Country","df.Classical.music","df.Musical","df.Rock","df.Metal.or.Hardrock","df.Punk","df.Hiphop..Rap","df.Reggae..Ska","df.Swing..Jazz","df.Rock.n.roll","df.Alternative","df.Latino","df.Techno..Trance","df.Opera","df.Pop","cluster","Pc1","Pc2","kclust","hclust"
"161",-4,-2,-2,-4,-2,-3,-3,-2,-1,-1,-1,-1,-3,-2,-2,-3,-2,-4,-4,1,0.521988057497822,-0.615841848321807,"1","3"
"162",-5,-3,-1,-2,-2,-2,-1,-3,-2,-2,-1,-1,-2,-1,-5,-1,-5,-1,-4,1,1.80013899186367,2.00794312394878,"1","2"
"163",-3,-3,-3,-3,-2,-5,-4,-3,-1,-1,-3,-2,-2,-2,-2,-2,-1,-4,-3,2,0.352611731452885,-0.544373567435686,"2","3"
"164",-5,-3,-1,-3,-2,-5,-3,-4,-5,-4,-1,-1,-1,-3,-2,-1,-1,-4,-1,3,-1.68070180564687,3.29722899873086,"3","2"
"165",-4,-4,-2,-2,-2,-4,-2,-4,-5,-3,-2,-3,-2,-3,-3,-2,-2,-3,-2,3,-0.867409536587156,2.23821135047975,"3","2"
"166",-5,-3,-2,-5,-2,-4,-5,-2,-1,-1,-1,-3,-4,-3,-4,-3,-1,-4,-5,2,-1.53387542282158,-1.73707324006777,"2","3"
"167",-5,-1,-4,-1,-2,-3,-3,-4,-1,-3,-5,-2,-1,-3,-2,-3,-4,-1,-5,1,1.69934265148211,-1.1250503357312,"1","3"
"168",-5,-3,-1,-4,-3,-5,-3,-5,-5,-4,-1,-3,-3,-5,-5,-1,-1,-3,-1,3,-4.14243102251824,2.96904333595679,"3","2"
"169",-5,-4,-1,-2,-1,-3,-2,-4,-2,-4,-2,-3,-1,-5,-5,-1,-1,-1,-2,3,-0.445229640675907,3.28681464059418,"3","2"
"170",-5,-3,-2,-2,-2,-3,-2,-3,-1,-1,-5,-3,-3,-3,-3,-2,-1,-2,-2,1,0.849451468848176,0.424873033790193,"1","1"
"171",-5,-3,-2,-2,-2,-2,-3,-4,-3,-3,-4,-4,-3,-3,-3,-3,-3,-3,-4,2,-0.352922208594505,-0.0339177382672222,"2","1"
"172",-5,-3,-3,-4,-2,-2,-2,-5,-3,-5,-5,-4,-2,-5,-2,-2,-2,-2,-3,3,-0.998907752694982,0.670668195445544,"3","2"
"173",-5,-4,-4,-1,-1,-1,-1,-3,-1,-1,-4,-2,-1,-1,-1,-2,-4,-1,-2,1,4.24168954337635,0.560850098030611,"1","1"
"174",-4,-3,-3,-1,-2,-4,-3,-4,-4,-3,-5,-4,-3,-4,-2,-2,-2,-1,-4,3,-0.133778261991429,0.282920820214728,"3","3"
"175",-5,-3,-5,-1,-1,-1,-1,-2,-1,-1,-5,-3,-1,-1,-1,-1,-4,-1,-3,1,4.62267718254041,-0.260328669976309,"1","1"
"176",-5,-3,-4,-2,-2,-3,-1,-5,-3,-3,-3,-3,-2,-2,-2,-4,-3,-3,-4,1,0.332297216689443,-0.170359533997671,"1","3"
"177",-5,-3,-3,-3,-2,-3,-3,-5,-4,-4,-2,-5,-4,-5,-4,-3,-1,-2,-2,3,-2.86677791916585,1.1526759557523,"3","2"
"178",-5,-1,-2,-4,-3,-5,-5,-4,-3,-1,-1,-1,-4,-5,-3,-4,-1,-5,-4,2,-3.39783192275894,-1.13376417459825,"2","3"
"179",-5,-3,-5,-2,-2,-5,-5,-4,-4,-3,-1,-2,-4,-4,-3,-1,-1,-5,-3,3,-2.56130783591237,0.102018444583056,"3","2"
"180",-5,-3,-2,-3,-3,-4,-5,-3,-1,-4,-2,-2,-3,-4,-2,-4,-1,-4,-3,2,-1.74843255217617,-0.65269776288125,"2","3"
"181",-5,-3,-3,-2,-1,-3,-2,-4,-1,-5,-4,-5,-5,-5,-3,-3,-1,-2,-4,2,-1.271307532299,-0.127682470572249,"2","3"
"182",-5,-4,-5,-5,-5,-5,-1,-5,-4,-3,-4,-4,-4,-5,-3,-4,-5,-1,-4,2,-2.48933941238573,-2.14654247491295,"2","3"
"183",-5,-4,-5,-1,-2,-2,-5,-5,-1,-1,-5,-4,-4,-5,-2,-5,-4,-1,-5,2,0.36573055364015,-3.26665473904113,"2","3"
"184",-5,-3,-1,-3,-3,-5,-1,-4,-2,-3,-3,-2,-4,-5,-5,-1,-2,-5,-2,3,-2.7751100331802,1.50990090068947,"3","3"
"185",-5,-4,-4,-2,-3,-3,-4,-5,-2,-5,-4,-2,-2,-2,-4,-3,-5,-2,-5,2,-0.117256872903184,-0.921021739057295,"2","3"
"186",-4,-3,-2,-2,-2,-3,-3,-5,-4,-3,-2,-2,-5,-5,-4,-3,-1,-2,-3,3,-2.20135742634157,1.45804026564808,"3","2"
"187",-1,-3,-2,-2,-1,-1,-1,-1,-1,-1,-5,-1,-1,-1,-1,-5,-1,-1,-3,1,4.58839687402553,0.250630676909549,"1","1"
"188",-5,-4,-1,-1,-1,-1,-1,-4,-5,-3,-2,-1,-1,-3,-1,-1,-2,-1,-1,3,1.76460452517721,4.35277315889355,"3","2"
"189",-5,-3,-4,-1,-3,-2,-5,-3,-1,-2,-3,-1,-2,-4,-4,-3,-2,-3,-4,2,0.31482477146199,-0.971687333283328,"2","3"
"190",-5,-4,-2,-1,-3,-2,-3,-3,-1,-1,-4,-3,-1,-2,-2,-1,-3,-2,-4,1,2.34600847315236,0.0937399503688885,"1","1"
"191",-5,-5,-5,-1,-1,-1,-2,-1,-1,-1,-5,-2,-1,-1,-1,-2,-5,-1,-3,1,5.05052137802867,-0.947463531080179,"1","1"
"192",-5,-3,-4,-3,-3,-4,-2,-3,-1,-2,-5,-4,-4,-2,-5,-3,-1,-3,-1,2,-0.813239661980798,-0.64950108277086,"2","3"
"193",-5,-3,-4,-5,-1,-4,-3,-5,-5,-4,-5,-5,-5,-4,-4,-3,-4,-3,-3,2,-3.04808530389763,-0.918898071534826,"2","2"
"194",-5,-3,-3,-2,-4,-4,-3,-5,-3,-3,-2,-1,-4,-3,-3,-3,-1,-1,-5,3,-1.13955804931888,0.0922015904859924,"3","2"
"195",-5,-3,-3,-3,-2,-3,-1,-2,-2,-1,-4,-3,-4,-2,-2,-5,-2,-2,-4,1,1.07663340557845,-1.52472713778352,"1","3"
"196",-5,-3,-2,-2,-3,-5,-4,-5,-3,-4,-3,-3,-2,-3,-5,-2,-1,-2,-4,3,-1.94748255208284,1.00789346256958,"3","2"
"197",-5,-4,-2,-3,-2,-4,-4,-5,-2,-4,-3,-4,-4,-5,-5,-3,-2,-2,-2,3,-2.78817845076039,0.622630142406892,"3","2"
"198",-5,-2,-2,-4,-3,-5,-3,-4,-3,-3,-2,-3,-5,-3,-4,-4,-1,-3,-2,3,-3.10162813922322,0.119520170968411,"3","2"
"199",-4,-3,-3,-5,-3,-4,-2,-3,-1,-2,-1,-2,-5,-4,-4,-3,-2,-3,-3,2,-1.7699691166985,-0.637069110190148,"2","3"
"200",-4,-3,-4,-2,-4,-1,-1,-3,-1,-4,-2,-5,-3,-3,-2,-2,-3,-3,-4,1,0.493392148085317,-0.301423435396596,"1","1"
"201",-5,-2,-2,-5,-4,-5,-5,-3,-1,-3,-4,-3,-3,-3,-3,-5,-2,-3,-5,2,-2.02358711350751,-2.84973444862196,"2","3"
"202",-5,-1,-3,-2,-3,-2,-2,-5,-3,-3,-1,-2,-3,-5,-1,-5,-1,-1,-4,3,-0.806353871930541,0.337687429544499,"3","3"
"203",-5,-3,-1,-2,-4,-4,-1,-3,-2,-2,-3,-4,-5,-3,-1,-4,-3,-1,-2,2,-0.374659045093727,-0.00326151325470836,"2","3"
"204",-4,-4,-4,-2,-2,-4,-3,-4,-4,-4,-4,-4,-2,-4,-3,-4,-4,-1,-4,2,-0.441868049781614,-0.541487837662901,"2","3"
"205",-4,-4,-4,-4,-3,-2,-1,-5,-4,-4,-2,-4,-1,-3,-4,-5,-1,-1,-4,3,-0.674500191008147,0.522277037871396,"3","2"
"206",-5,-3,-1,-1,-1,-3,-3,-5,-4,-2,-1,-1,-3,-4,-2,-4,-1,-2,-3,3,-0.590681047440064,1.9850397460879,"3","2"
"207",-1,-3,-3,-3,-2,-3,-5,-4,-3,-3,-2,-4,-3,-4,-2,-4,-1,-1,-4,2,-0.683922315346151,-0.247570840400111,"2","2"
"208",-5,-4,-4,-2,-1,-3,-3,-3,-1,-1,-5,-4,-3,-2,-2,-5,-3,-2,-4,1,1.59712567566878,-2.34915455320114,"1","3"
"209",-5,-2,-2,-1,-2,-2,-3,-2,-1,-1,-5,-3,-2,-3,-2,-4,-1,-1,-4,1,2.03773455734487,-0.74318430461222,"1","3"
"210",-5,-3,-4,-2,-1,-5,-2,-4,-1,-3,-3,-3,-4,-4,-4,-2,-2,-4,-2,2,-1.32772952238799,0.177007692051964,"2","3"
"211",-3,-4,-2,-1,-1,-1,-1,-3,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,1,3.05479384842585,2.57917048879337,"1","1"
"212",-5,-4,-2,-1,-1,-3,-5,-3,-1,-2,-5,-3,-3,-3,-3,-2,-1,-4,-3,2,0.293101978622919,-0.225096700439026,"2","3"
"213",-3,-3,-3,-2,-1,-2,-5,-4,-1,-1,-1,-1,-2,-2,-1,-4,-1,-3,-5,1,1.5153334911791,-0.693316180298004,"1","3"
"214",-5,-3,-5,-2,-4,-3,-5,-5,-2,-3,-2,-3,-3,-4,-3,-5,-2,-1,-5,2,-1.23613844117934,-2.01137355328759,"2","3"
"215",-5,-3,-2,-3,-3,-2,-2,-4,-3,-4,-4,-5,-4,-5,-5,-3,-1,-1,-3,3,-1.95083718901122,0.795157013706561,"3","2"
"216",-5,-3,-3,-2,-3,-4,-1,-5,-2,-2,-3,-4,-4,-4,-1,-5,-1,-4,-4,2,-1.30937317081304,-1.08044720489246,"2","2"
"217",-5,-3,-3,-2,-1,-4,-5,-5,-2,-3,-3,-4,-5,-3,-5,-4,-2,-1,-3,2,-1.80278586058758,-0.393218241975522,"2","3"
"218",-5,-3,-4,-1,-1,-4,-3,-5,-4,-3,-4,-2,-2,-2,-2,-2,-3,-3,-4,1,0.377115449532362,0.364979617318429,"1","2"
"219",-5,-3,-3,-4,-4,-4,-4,-5,-4,-4,-2,-2,-4,-4,-4,-5,-2,-4,-5,2,-3.57063817926857,-1.24029348197257,"2","2"
"220",-5,-3,-3,-2,-1,-2,-2,-3,-2,-2,-4,-4,-2,-2,-2,-4,-2,-1,-4,1,1.84964228462206,-0.400338337114149,"1","3"
"221",-5,-5,-5,-2,-2,-3,-5,-5,-2,-4,-4,-4,-3,-3,-2,-4,-5,-2,-5,2,-0.1546928109674,-2.36626737378962,"2","3"
"222",-5,-2,-2,-2,-3,-3,-3,-5,-1,-2,-2,-1,-3,-2,-5,-4,-2,-4,-4,2,-0.963528677260581,-0.0745068240949899,"2","2"
"223",-5,-3,-3,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,4.11991116203366,1.62781653863726,"1","1"
"224",-5,-3,-5,-3,-2,-2,-5,-3,-1,-1,-4,-2,-1,-5,-2,-5,-3,-2,-5,2,0.984808264229634,-3.07016194990478,"2","3"
"225",-5,-3,-2,-5,-4,-5,-5,-5,-4,-3,-3,-3,-4,-4,-4,-5,-1,-4,-3,2,-4.37209946105786,-1.10703959529084,"2","2"
"226",-5,-3,-3,-4,-2,-1,-2,-2,-1,-1,-3,-2,-1,-2,-1,-5,-1,-1,-5,1,2.68286297633481,-1.37228593498243,"1","3"
"227",-5,-3,-5,-3,-2,-3,-3,-4,-3,-1,-4,-2,-3,-3,-3,-2,-5,-2,-4,2,0.538807251298814,-1.40623598498969,"2","3"
"228",-5,-4,-1,-2,-1,-5,-1,-5,-5,-2,-1,-1,-4,-3,-5,-2,-1,-1,-1,3,-1.47633831409716,3.7782152158673,"3","2"
"229",-2,-3,-3,-3,-3,-2,-2,-4,-2,-2,-2,-1,-3,-5,-2,-5,-1,-5,-3,2,-0.84326331816747,-0.259930576296709,"2","2"
"230",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-0.540043631741259,-0.176507089481124,"2","3"
"231",-5,-3,-4,-2,-3,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-3,-1,-1,-5,1,3.00163569670509,-0.472024328157504,"1","1"
"232",-5,-4,-3,-4,-2,-5,-4,-5,-2,-1,-3,-3,-5,-3,-5,-2,-3,-4,-2,2,-2.48583077330749,-0.63593753276897,"2","3"
"233",-5,-5,-5,-2,-2,-2,-4,-4,-2,-2,-4,-3,-2,-4,-3,-5,-3,-2,-5,2,0.600832699692459,-2.23072510328119,"2","3"
"234",-5,-3,-3,-2,-1,-2,-3,-2,-1,-1,-4,-3,-3,-2,-1,-1,-1,-1,-5,1,2.67693198359752,-0.527127000659299,"1","1"
"235",-5,-3,-3,-3,-2,-3,-3,-4,-1,-1,-2,-2,-4,-3,-1,-4,-1,-2,-4,2,0.266253795262938,-1.0264554122298,"2","3"
"236",-5,-3,-4,-3,-4,-4,-3,-4,-4,-4,-3,-2,-2,-3,-2,-3,-2,-3,-2,3,-1.34217965117442,0.232742324359031,"3","2"
"237",-5,-3,-3,-2,-1,-2,-2,-2,-1,-1,-2,-3,-3,-3,-2,-5,-1,-2,-5,1,1.56465592177005,-1.15097524572244,"1","3"
"238",-5,-3,-3,-1,-2,-4,-4,-5,-3,-4,-1,-1,-1,-3,-2,-4,-2,-4,-3,3,-0.861110302365122,0.896264386057629,"3","2"
"239",-5,-3,-3,-2,-1,-1,-3,-5,-4,-5,-5,-5,-5,-5,-5,-3,-2,-1,-4,3,-1.77189294151987,0.559051889615264,"3","2"
"240",-5,-3,-4,-3,-1,-1,-1,-5,-5,-5,-5,-5,-4,-5,-4,-2,-1,-1,-4,3,-1.27645684954095,1.17308273076188,"3","2"
"241",-5,-3,-2,-4,-3,-5,-3,-5,-5,-5,-2,-5,-4,-3,-5,-2,-1,-5,-2,3,-4.57845611603271,1.45427581793787,"3","2"
"242",-5,-3,-4,-2,-2,-4,-4,-4,-2,-4,-4,-4,-5,-4,-4,-4,-4,-3,-4,2,-1.90561174702589,-1.80463369018935,"2","3"
"243",-5,-4,-5,-3,-3,-2,-2,-3,-1,-1,-4,-3,-2,-4,-1,-3,-2,-1,-4,1,1.72913431657901,-1.69214972885393,"1","1"
"244",-5,-3,-3,-3,-4,-4,-5,-4,-4,-3,-2,-2,-4,-3,-3,-5,-4,-3,-3,2,-2.35404722565559,-1.25610805751349,"2","2"
"245",-5,-3,-2,-1,-3,-3,-1,-5,-3,-1,-2,-2,-3,-5,-1,-2,-2,-2,-4,3,0.0100834463494105,1.07437260773869,"3","2"
"246",-5,-4,-3,-5,-2,-4,-3,-4,-2,-3,-5,-5,-2,-3,-5,-4,-3,-3,-3,2,-1.50656164418629,-1.29990523472342,"2","3"
"247",-5,-3,-4,-2,-2,-2,-1,-3,-1,-3,-3,-3,-1,-1,-1,-2,-2,-1,-4,1,2.83543618864085,0.266414504278397,"1","1"
"248",-5,-3,-4,-2,-1,-3,-4,-5,-5,-3,-2,-3,-2,-2,-4,-5,-5,-2,-2,3,-0.756730461481901,0.260912952293055,"3","3"
"249",-5,-3,-4,-2,-3,-4,-1,-4,-4,-5,-4,-4,-5,-5,-2,-5,-3,-2,-2,2,-2.12830741584263,-0.312282354934707,"2","2"
"250",-5,-3,-1,-1,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-2,-3,-1,-1,-3,1,2.72333901626867,1.6039923798346,"1","1"
"251",-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4.33050081409577,3.40258446156712,"1","1"
"252",-5,-4,-3,-1,-1,-3,-3,-5,-1,-1,-3,-1,-2,-1,-1,-1,-1,-4,-5,1,1.93872731404324,0.241708754826644,"1","3"
"253",-5,-3,-3,-2,-2,-4,-3,-4,-1,-3,-5,-5,-3,-3,-4,-4,-1,-1,-4,2,-0.390337133838081,-0.955672177364211,"2","3"
"254",-5,-3,-3,-1,-1,-3,-2,-4,-2,-4,-4,-1,-3,-3,-4,-2,-3,-3,-4,3,0.343391468575882,0.793257923060992,"3","2"
"255",-4,-3,-4,-1,-1,-2,-4,-4,-1,-1,-4,-3,-4,-4,-3,-4,-1,-1,-4,2,0.811600255224597,-1.10695406942352,"2","3"
"256",-4,-3,-3,-3,-3,-3,-3,-5,-4,-4,-3,-4,-3,-4,-3,-3,-2,-3,-3,3,-2.05152083736146,0.457563233955859,"3","2"
"257",-5,-4,-5,-2,-3,-2,-5,-4,-1,-3,-3,-3,-3,-3,-3,-5,-2,-1,-5,2,0.196662326517821,-2.28211609076402,"2","3"
"258",-5,-1,-2,-2,-2,-4,-4,-5,-4,-5,-1,-4,-3,-3,-5,-2,-1,-2,-1,3,-2.93173102657533,2.72606068931617,"3","2"
"259",-5,-3,-3,-2,-5,-3,-3,-5,-3,-2,-2,-4,-3,-5,-5,-3,-1,-4,-4,3,-2.84224137808776,-0.22299660118179,"3","2"
"260",-5,-4,-5,-1,-1,-1,-1,-3,-2,-2,-2,-4,-1,-3,-3,-1,-5,-1,-5,1,2.8460921164149,0.147948685110782,"1","1"
"261",-5,-3,-2,-1,-2,-3,-2,-3,-2,-3,-1,-3,-3,-2,-4,-2,-4,-2,-2,3,0.32249089830305,1.63077282169764,"3","2"
"262",-5,-3,-5,-2,-3,-2,-2,-3,-1,-1,-5,-4,-4,-5,-1,-5,-2,-1,-4,2,0.852165791091348,-2.71753683325286,"2","1"
"263",-5,-3,-4,-1,-1,-3,-4,-4,-1,-3,-5,-5,-3,-2,-2,-3,-1,-2,-2,1,0.611795076268623,-0.435003097734239,"1","1"
"264",-5,-2,-1,-5,-2,-5,-2,-4,-5,-3,-1,-1,-3,-3,-5,-1,-1,-5,-2,3,-3.17901310129997,2.52995077252982,"3","2"
"265",-4,-2,-1,-2,-1,-5,-2,-5,-5,-1,-1,-1,-2,-1,-2,-1,-1,-4,-1,3,-0.450998628863274,3.41089942882354,"3","2"
"266",-5,-4,-5,-4,-1,-2,-5,-5,-2,-2,-5,-3,-1,-4,-1,-5,-1,-2,-5,2,0.507065274848475,-2.47453708246127,"2","3"
"267",-4,-5,-2,-2,-4,-2,-5,-5,-4,-2,-4,-2,-2,-3,-1,-5,-1,-1,-4,2,0.0723101765140455,-0.404168885243466,"2","3"
"268",-5,-3,-2,-2,-1,-4,-4,-4,-2,-1,-2,-3,-2,-2,-1,-2,-1,-3,-4,1,0.577595888569902,0.225482044509535,"1","3"
"269",-5,-3,-3,-2,-1,-2,-2,-5,-2,-3,-2,-2,-3,-4,-5,-1,-1,-2,-2,3,-0.524246117672756,2.38454933536628,"3","2"
"270",-5,-5,-5,-3,-3,-3,-3,-4,-2,-4,-4,-5,-5,-5,-5,-5,-4,-1,-3,2,-1.93532983577364,-1.94925953711741,"2","3"
"271",-5,-3,-1,-4,-3,-2,-5,-5,-4,-3,-1,-1,-5,-5,-3,-3,-1,-1,-2,3,-2.72135516539089,1.49099391457244,"3","2"
"272",-5,-3,-4,-2,-1,-3,-3,-4,-1,-1,-4,-1,-1,-4,-2,-2,-2,-1,-3,1,1.80674067037271,0.0336314145116481,"1","1"
"273",-5,-5,-4,-1,-1,-3,-2,-4,-2,-1,-1,-2,-1,-1,-1,-3,-5,-3,-4,1,2.54184608874664,-0.195773212045897,"1","1"
"274",-5,-4,-5,-5,-2,-5,-5,-5,-2,-2,-5,-5,-5,-3,-3,-5,-2,-5,-5,2,-2.81626962714969,-4.15055373635926,"2","3"
"275",-2,-4,-2,-1,-1,-2,-2,-4,-3,-2,-3,-3,-3,-3,-2,-1,-2,-1,-3,1,1.59590510698586,2.10815526822792,"1","1"
"276",-5,-4,-3,-2,-2,-4,-3,-2,-1,-1,-4,-1,-3,-4,-2,-4,-2,-2,-4,1,1.0373361901897,-1.44562847898844,"1","3"
"277",-5,-4,-5,-4,-5,-4,-5,-5,-5,-5,-2,-5,-5,-5,-5,-5,-5,-4,-5,2,-5.02418476311407,-2.7595176673763,"2","3"
"278",-5,-3,-1,-1,-1,-3,-3,-2,-1,-1,-2,-1,-1,-1,-2,-2,-1,-2,-5,1,2.78204817643349,0.842177798972581,"1","1"
"279",-5,-3,-4,-1,-1,-1,-3,-3,-1,-2,-3,-2,-1,-1,-2,-2,-4,-2,-3,1,3.12623521672826,0.168553036930758,"1","1"
"280",-5,-3,-5,-2,-2,-2,-1,-5,-1,-2,-2,-1,-2,-3,-3,-4,-4,-1,-3,1,1.38815105000727,-0.14832121315536,"1","1"
"281",-5,-3,-2,-3,-4,-3,-3,-1,-1,-3,-3,-2,-4,-4,-3,-3,-2,-1,-3,2,-0.144640043801023,-0.509766709718007,"2","3"
"282",-5,-3,-4,-3,-2,-4,-5,-4,-1,-2,-3,-3,-4,-3,-4,-4,-3,-2,-5,2,-0.890308846831028,-2.37054557292596,"2","3"
"283",-5,-4,-3,-2,-2,-2,-2,-5,-4,-3,-2,-3,-2,-2,-5,-2,-4,-1,-3,3,0.119257943674167,1.74077726803064,"3","2"
"284",-5,-3,-3,-2,-4,-3,-4,-5,-2,-2,-5,-2,-3,-5,-3,-4,-3,-1,-4,2,-0.792155273923669,-1.34768152691658,"2","3"
"285",-5,-3,-2,-2,-1,-4,-3,-5,-5,-5,-1,-3,-3,-5,-5,-3,-1,-2,-2,3,-2.96472737047469,2.79133849149738,"3","2"
"286",-5,-2,-2,-1,-4,-5,-4,-4,-1,-3,-1,-1,-1,-3,-1,-3,-1,-5,-5,2,-0.743745266481259,-0.301993539344818,"2","3"
"287",-5,-3,-4,-2,-2,-2,-2,-3,-2,-3,-2,-3,-3,-3,-3,-3,-2,-2,-5,1,0.60749456538562,-0.385957074610712,"1","3"
"288",-5,-3,-4,-4,-3,-3,-3,-4,-4,-4,-5,-5,-2,-4,-3,-3,-4,-2,-4,2,-1.22367933953796,-1.19195319689735,"2","3"
"289",-5,-4,-3,-2,-2,-3,-2,-4,-2,-2,-2,-3,-3,-3,-3,-3,-3,-1,-5,1,0.603170736924227,-0.215454962957239,"1","3"
"290",-5,-3,-3,-2,-1,-4,-4,-3,-1,-1,-5,-4,-3,-4,-2,-3,-1,-2,-5,2,0.512553198545178,-1.75929219800762,"2","3"
"291",-5,-5,-3,-3,-4,-2,-1,-5,-4,-5,-2,-4,-3,-2,-5,-3,-1,-1,-2,3,-1.41065558901936,2.09256963017412,"3","2"
"292",-5,-3,-4,-2,-3,-3,-2,-4,-1,-2,-4,-2,-2,-3,-2,-2,-3,-1,-4,1,1.39426237616396,-0.572616481663247,"1","1"
"293",-5,-5,-3,-2,-3,-3,-3,-5,-2,-2,-5,-1,-5,-5,-1,-2,-4,-1,-2,2,-0.0885673044671548,-0.229520561180644,"2","1"
"294",-4,-3,-3,-2,-3,-3,-5,-2,-1,-1,-2,-3,-1,-1,-1,-5,-1,-1,-3,1,1.8520007928338,-1.17938491227511,"1","3"
"295",-5,-2,-3,-2,-3,-3,-4,-4,-2,-2,-3,-2,-3,-3,-2,-3,-2,-2,-5,2,-0.00255803988649334,-0.970432644543127,"2","3"
"296",-5,-2,-2,-3,-3,-2,-3,-3,-2,-2,-2,-2,-4,-1,-4,-4,-1,-1,-2,1,-0.00561196571394128,0.560748177570462,"1","2"
"297",-5,-5,-4,-3,-2,-3,-3,-4,-2,-2,-4,-4,-4,-3,-2,-2,-4,-2,-4,2,0.276850532969636,-1.35038863813892,"2","3"
"298",-5,-4,-3,-1,-2,-3,-2,-3,-1,-2,-3,-3,-3,-2,-3,-1,-4,-2,-5,1,1.66477636351912,-0.231484722424132,"1","1"
"299",-5,-3,-5,-1,-2,-3,-2,-3,-1,-1,-5,-2,-2,-1,-2,-1,-5,-3,-3,1,2.70618173787819,-0.995744072151108,"1","1"
"300",-5,-3,-2,-2,-1,-5,-3,-5,-5,-5,-1,-3,-3,-5,-5,-2,-1,-3,-2,3,-3.38535128815444,2.88488509732562,"3","2"
"301",-5,-1,-1,-3,-2,-5,-3,-3,-1,-2,-3,-3,-2,-2,-4,-2,-1,-3,-2,3,-0.678996832949099,0.871043644069326,"3","2"
"302",-5,-4,-1,-1,-1,-1,-1,-2,-2,-2,-5,-1,-1,-1,-1,-1,-5,-1,-2,1,4.25951404687946,1.89570954318633,"1","1"
"303",-5,-3,-3,-2,-2,-2,-4,-3,-1,-2,-4,-4,-3,-3,-3,-4,-3,-2,-3,2,0.482922751044471,-1.21842295511258,"2","3"
"304",-5,-4,-3,-5,-2,-2,-5,-4,-2,-2,-1,-2,-2,-5,-2,-5,-1,-2,-5,2,-0.897273634191421,-1.42201966065727,"2","3"
"305",-5,-3,-2,-4,-4,-1,-2,-3,-1,-1,-2,-1,-1,-4,-3,-3,-1,-1,-5,1,1.09461137588259,-0.131370323156657,"1","3"
"306",-4,-3,-4,-2,-1,-1,-2,-4,-3,-4,-2,-3,-2,-2,-2,-2,-3,-1,-4,1,1.60892416558107,1.10924410469525,"1","1"
"307",-5,-4,-1,-1,-1,-1,-1,-3,-1,-1,-5,-5,-1,-3,-1,-2,-4,-1,-3,1,3.20516881372155,0.710266484619027,"1","1"
"308",-5,-4,-3,-5,-2,-5,-5,-2,-1,-1,-1,-2,-5,-5,-3,-3,-2,-5,-4,2,-2.33495492380283,-2.27989538520611,"2","3"
"309",-5,-4,-5,-2,-1,-2,-3,-2,-1,-1,-3,-2,-3,-3,-1,-2,-4,-1,-5,1,2.8223259729616,-1.69138558792806,"1","1"
"310",-2,-3,-4,-2,-2,-1,-1,-4,-3,-3,-2,-3,-1,-1,-3,-1,-2,-1,-4,1,2.31228837532056,1.85322092023561,"1","1"
"311",-5,-3,-3,-2,-4,-5,-3,-5,-2,-4,-1,-4,-4,-4,-5,-3,-1,-3,-5,3,-3.11091420979883,-0.208796299730754,"3","2"
"312",-5,-5,-2,-1,-3,-2,-1,-5,-5,-1,-1,-1,-1,-5,-1,-2,-1,-2,-2,3,0.401115690837142,2.97933138699853,"3","2"
"313",-5,-3,-3,-1,-2,-3,-2,-2,-1,-1,-4,-2,-2,-3,-5,-2,-1,-3,-4,1,1.19558006878181,0.0216470158354553,"1","2"
"314",-5,-3,-3,-3,-2,-4,-4,-4,-2,-3,-3,-2,-2,-2,-3,-2,-3,-4,-4,2,-0.437480062422754,-0.420286332198272,"2","3"
"315",-5,-4,-2,-1,-3,-1,-2,-3,-1,-1,-5,-2,-1,-2,-1,-3,-2,-1,-4,1,3.2463980879805,-0.109100291292869,"1","1"
"316",-4,-4,-3,-3,-4,-4,-4,-5,-3,-2,-4,-4,-3,-4,-2,-3,-2,-3,-5,2,-1.52052527663511,-1.50396428418646,"2","3"
"317",-5,-4,-3,-1,-1,-2,-2,-4,-4,-3,-5,-2,-2,-1,-1,-4,-3,-2,-2,1,1.87448070528199,0.845975563080395,"1","1"
"318",-4,-3,-5,-3,-3,-2,-1,-5,-2,-1,-3,-3,-3,-4,-1,-2,-2,-3,-3,1,0.333747119891103,-0.457927107121945,"1","1"
"319",-5,-3,-4,-2,-4,-3,-2,-2,-1,-2,-4,-4,-2,-3,-1,-3,-2,-3,-5,1,1.10369702318128,-2.0107149568094,"1","1"
"320",-5,-3,-4,-1,-2,-1,-3,-5,-1,-1,-5,-5,-3,-4,-3,-3,-1,-2,-5,1,0.680917359748887,-1.297112737441,"1","3"
"321",-5,-1,-3,-5,-5,-5,-2,-5,-4,-2,-3,-4,-5,-1,-1,-1,-1,-1,-2,3,-1.95569429858285,0.218903919509782,"3","2"
"322",-5,-3,-1,-3,-2,-4,-5,-5,-3,-5,-2,-4,-1,-4,-4,-4,-1,-5,-3,3,-3.14715406485811,0.865405644479667,"3","2"
